TICKER,SETOR,COTACAO_FECHAMENTO,VALOR,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,NUMERO_COTISTA,TX_GESTAO,PATRIMONIO_LIQUIDO
BICE11,Fundo de Fundos,895.4300,895.43,84866.83,0.8654,0.4000,0.7025,3.1900,-7.5649,120,,138051856.9300
BICR11,Papéis,35.6300,35.92,44,0.8633,1.0200,0.3208,4.5200,-26.9733,641,,21256532.3100
BIDB11,Outros,81.4100,80.11,361254.56,0,1.3500,1.3650,7.8800,17.0612,0,,0
BIME11,Outros,6.8100,7.02,71388.06,0.8475,1.3200,1.3108,5.4300,9.3969,8464,,48296868.9700
BINC11,Papéis,92.8800,92.58,427162.44,0,1.0800,1.2980,4.6000,9.1699,0,,0
BIPD11,Outros,---,915.1,94906,0.9234,0.0000,0.0000,0.0000,---,111,,109443322.69
BLCA11,Outros,85.1300,94.62,1025316.33,0.7196,0.5900,0.5400,2.3200,-6.1587,482,,212249938.2900
BLCP11,Imóveis Industriais e Logísticos,89.0000,91,103127.5,1.4261,0.6300,0.0000,4.2600,---,8102,,256580339.9000
BLMC11,Papéis,---,85.75,150671.33,1.3438,0.0000,0.0000,0.7400,---,8102,,37827096.1200
BLMG11,Imóveis Industriais e Logísticos,30.8200,33.4,327358.44,0.4785,1.1400,1.5417,7.3600,5.8248,13467,,301157029.4500
BLMO11,Lajes Corporativas,79.9900,79.99,1218.28,0.7595,0.7300,0.6108,3.1100,16.4885,346,,104770196.7900
BLMR11,Fundo de Fundos,---,6.78,1157702.33,0.1063,0.0000,0.0000,0.0000,---,8102,,194292702.5300
BLOG11,Misto,10.4600,11.63,22,1.0393,0.3800,0.3550,1.5400,1.8408,64,,317968266.47
BLUR11,Papéis,69.5000,68.11,147.11,0.9253,0.7200,0.6533,3.1700,-3.0685,1,,6625198.12
BMLC11,Lajes Corporativas,96.2900,97.12,308420.61,0.8563,0.7300,0.7667,2.9300,5.1128,1340,,112458197.9500
